y,x1,x2,x3
-8.95265909637698,-3.34438460261177,-0.157438051416092,0.0203480386931741
-10.2035584981603,-3.36222666713464,0.0434466119012403,0.453394409220213
-12.0556532678704,-3.37887414853231,0.200999333268538,0.789217078927763
-10.0427705895353,-3.39432113203392,0.268690325700578,0.534443012401903
-8.62542962737644,-3.40856212939978,0.116652431980799,0.389374161453542
-4.16248789924483,-3.42159208087133,0.142548920465491,-0.299083352958454
-1.23098444883464,-3.43340635696887,-0.068654741952609,-0.99502770886999
1.08637363154584,-3.44400076013634,-0.488753484468003,-1.11018573545359
-1.8496134859932,-3.45337152623275,-0.465054111466475,-0.98169886209439
-3.41742789651166,-3.46151532586953,-0.766377652742036,-1.01721215030749
-6.89792543505891,-3.46842926559344,-0.639794397282046,-0.378988652028781
-6.19642996628449,-3.47411088891462,-0.663780013055972,-0.332947770704535
-10.0446330570212,-3.47855817717935,-0.618453595497568,-0.168085961983704
-10.651522547106,-3.4817695502873,-0.876134607784224,-0.128867047908815
-9.05461120769149,-3.48374386725289,-0.909628440261494,-0.430230269630152
-6.33823376245838,-3.48448042661071,-0.975176214776996,-0.51387803788216
-7.0103498838533,-3.48397896666471,-1.04806737243668,-0.586671177229329
-1.35887938850212,-3.48223966558123,-0.889702566470703,-1.17538386636926
-4.56390802651673,-3.47926314132567,-1.11662673620887,-1.10641426523809
-2.34717441924128,-3.47505045144292,-1.37034133164358,-1.17709452691626
-6.88588472527383,-3.46960309268163,-1.90705160381209,-1.00827959786219
-2.62413864194282,-3.46292300046244,-1.85169556188939,-1.62309650482689
0.323028769647129,-3.4550125481903,-1.79493331980475,-2.03251237784116
-4.46481906456687,-3.44587454641123,-1.96109679003379,-1.55525275665698
-4.33169952585115,-3.43551224181377,-2.11620551384223,-1.58320353791665
-4.41223338820522,-3.42392931607539,-2.50225704927176,-1.84620746873584
-2.46814044385406,-3.41112988455444,-2.21644595978403,-2.04963046715985
-6.94549697064354,-3.39711849482802,-2.30474862352992,-1.49406766602917
-5.59498459099667,-3.38190012507616,-2.28689788812323,-1.41194360726805
-5.14279216614097,-3.36548018231318,-2.43138490238349,-1.63079553043012
-5.01814746009419,-3.34786450046655,-2.20834795281221,-1.51721792908027
-7.49149678593887,-3.32905933830416,-2.71778442465633,-1.55282741100965
-8.40145924596726,-3.30907137721058,-2.53303961197019,-1.39896158071467
-9.45208089834905,-3.28790771881321,-2.96637612077248,-1.19959152380551
-11.1084251245922,-3.26557588245911,-3.35952212760178,-1.44489564372136
-11.4870918861335,-3.24208380254339,-3.45867178545576,-1.43530827691308
-11.6638078917923,-3.2174398256902,-3.85453252295167,-1.39231821608547
-13.7501377103488,-3.19165270778716,-3.53935139486755,-1.35174635074008
-11.6942681881087,-3.16473161087447,-3.99336704053633,-1.44546660954377
-11.8597839429522,-3.13668609988968,-3.8022286006175,-1.36961019139893
-13.8029940434361,-3.1075261392693,-3.59879617227078,-1.19546672221676
-16.0267150348367,-3.07726208940849,-4.04729674054692,-1.17973113292118
-14.2373498044626,-3.04590470298006,-3.60613291916007,-1.11112238405942
-14.3196896976294,-3.0134651211141,-4.01636640729739,-1.26857439055084
-12.8243229242729,-2.97995486943957,-4.20658547155572,-1.29465195003782
-8.57736046135026,-2.94538585398934,-3.57743978020609,-1.87914613341594
-7.03558654793175,-2.90977035696999,-3.1156681678927,-1.63325313940601
-10.7217772164995,-2.87312103239802,-3.54060043130101,-1.1831945529663
-13.0044934467201,-2.83545090160395,-3.44665500970649,-0.851252376968285
-11.9738796939893,-2.79677334860587,-3.63622954113188,-0.987620797889807
-15.4722938069914,-2.7571021153542,-3.52710698973984,-0.651596651039619
-12.3399040336681,-2.71645129684921,-3.15597205035182,-0.707081942966049
-12.9303934450805,-2.67483533613315,-2.95574963242715,-0.39739098996221
-15.333024708121,-2.63226901915871,-3.03694873109867,-0.441091849266202
-17.4992356980275,-2.58876746953562,-3.06888497650164,-0.262820382617055
-14.9373001379662,-2.54434614315733,-2.92487287152314,-0.139779628354984
-8.42504933925084,-2.49902082270957,-2.65243904059288,-0.796637821497776
-11.3307026098459,-2.45280761206289,-2.43991789656404,-0.629060345865464
-7.05932234688343,-2.40572293055098,-2.17923185178082,-0.819685673351547
-7.86600233023423,-2.35778350713698,-2.28604896133948,-0.768699646972098
-5.71561294210784,-2.30900637446975,-1.9703713075519,-1.00719194715266
-8.7733472516701,-2.25940886283229,-2.02165305753637,-0.459376320294024
-10.6689744361354,-2.2090085939843,-1.9823654812894,-0.305577638637268
-9.81980105534641,-2.15782347490132,-2.35018417214086,-0.582218845965388
-8.46915654073031,-2.10587169141244,-1.93564417093247,-0.384116533163154
